rq2_configuration,attractor_type,attractor_number,structural_complexity_type,verbs,analyzable_verbs,target_like_verbs,non_target_verbs,unexpected_forms,attraction_configurations,attraction_errors,avg_llm_confidence,agreement_accuracy,attraction_error_rate
no_attraction,,,simple_subject_verb,141,141,139,2,0,0,0,0.8889361702127659,0.9858156028368794,
no_attraction,,,infinitival_complement,53,53,53,0,0,0,0,0.9005660377358491,1.0,
no_attraction,,,existential_construction,31,30,30,0,1,0,0,0.917741935483871,1.0,
no_attraction,,,fragment,25,18,18,0,7,0,0,0.6356,1.0,
no_attraction,,,subject_auxiliary_participle,23,22,19,3,1,0,0,0.8378260869565217,0.8636363636363636,
no_attraction,,,impersonal_expression,15,15,15,0,0,0,0,0.94,1.0,
no_attraction,,,relative_clause,10,10,10,0,0,0,0,0.853,1.0,
no_attraction,,,false_start,6,0,0,0,6,0,0,0.35000000000000003,,
no_attraction,,,embedded_clause,4,4,4,0,0,0,0,0.85,1.0,
no_attraction,,,other,3,3,2,1,0,0,0,0.7033333333333333,0.6666666666666666,
prepositional_phrase,pp,plural,simple_subject_verb,1,1,1,0,0,1,0,0.8,1.0,0.0
