verb_uid,source_path,file_id,annotation_scope,annotation_notes,utterance_unit,utterance_id,learner_id,speaker,raw_utterance,normalized_utterance,verb_index,produced_form,produced_agreement,target_form,lemma,tense_mood,category,subject_form,head,subject_type,person,number,cue_present,cue_expression,cue_type,cue_number,attraction_configuration,attraction_error,attractor_surface_form,attractor_head,attractor_number,attractor_type,intervener_type,structural_complexity_type,linear_distance_words,llm_confidence,comments,agreement_status,agreement_accuracy,is_agreement_target_like,is_agreement_non_target,is_unexpected_form,is_analyzable_agreement,cue_presence_label,cue_group,rq1_condition,has_attraction,has_attraction_error,rq2_configuration,distance_bin,finite_status
TS_FA_session01_page01:utt_001:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_001,TS,TS,"Ouais [soupir], on va s'adresser à quel sujet ?","Ouais, on va s'adresser à quel sujet ?",1,va,expected,va,aller,present_indicative,irregular,on,on,pronoun,3,singular,True,on,subject_pronoun,singular,False,False,,,,,,simple_subject_verb,0.0,0.98,Correct subject-verb agreement with grammatical singular on.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_001:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_001,TS,TS,"Ouais [soupir], on va s'adresser à quel sujet ?","Ouais, on va s'adresser à quel sujet ?",2,s'adresser,not_applicable,s'adresser,s'adresser,infinitive,regular_er_pronominal,on,on,controlled_subject,3,singular,False,,,,False,False,,,,,,infinitival_complement,,0.96,Infinitive controlled by on va; no finite agreement marking.,not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_003:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_003,TS,TS,Quo Xi le sujet qui t'intéresse le plus ? [rire],Quel est le sujet qui t'intéresse le plus ?,1,intéresse,expected,intéresse,intéresser,present_indicative,regular_er,qui,sujet,relative_pronoun,3,singular,True,le sujet,singular_determiner_np,singular,False,False,,,,,object_clitic,relative_clause,1.0,0.89,The beginning 'Quo Xi' is unclear; only the clearly produced verb intéresse is annotated.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,1_2,finite
TS_FA_session01_page01:utt_004:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_004,FA,FA,Moi j’avais parlé avec les autres sur # ce qu’on va faire pendant les vacances d’été,"Moi, j’avais parlé avec les autres de ce qu’on va faire pendant les vacances d’été.",1,avais parlé,expected,avais parlé,parler,plus_que_parfait_indicative,regular_er,j',je,pronoun,1,singular,True,j',subject_pronoun,singular,False,False,,,,,,simple_subject_verb,0.0,0.98,Agreement is correct. Preposition choice 'sur' is non-target-like but not a subject-verb agreement error.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_004:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_004,FA,FA,Moi j’avais parlé avec les autres sur # ce qu’on va faire pendant les vacances d’été,"Moi, j’avais parlé avec les autres de ce qu’on va faire pendant les vacances d’été.",2,va,expected,va,aller,present_indicative,irregular,on,on,pronoun,3,singular,True,on,subject_pronoun,singular,False,False,,,,,,embedded_interrogative_clause,0.0,0.97,Correct agreement in embedded clause.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_004:v3,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_004,FA,FA,Moi j’avais parlé avec les autres sur # ce qu’on va faire pendant les vacances d’été,"Moi, j’avais parlé avec les autres de ce qu’on va faire pendant les vacances d’été.",3,faire,not_applicable,faire,faire,infinitive,irregular,on,on,controlled_subject,3,singular,False,,,,False,False,,,,,,infinitival_complement,,0.97,Infinitive following aller futur proche.,not_applicable,,False,False,False,False,no_cue,none,no_cue,False,False,no_attraction,unknown,non_finite_or_not_applicable
TS_FA_session01_page01:utt_005:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_005,TS,TS,"Ah ouais, c'est # c- c'est ce qu'on a parlé tout à l'heure [rire]","Ah ouais, c'est ce dont on a parlé tout à l'heure.",1,c'est,expected,c'est,être,present_indicative,copula_irregular,c',ce,demonstrative_pronoun,3,singular,True,c',demonstrative_pronoun,singular,False,False,,,,,,simple_subject_verb,0.0,0.95,First c'est appears before a self-repair but is still a finite verb form.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_005:v2,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_005,TS,TS,"Ah ouais, c'est # c- c'est ce qu'on a parlé tout à l'heure [rire]","Ah ouais, c'est ce dont on a parlé tout à l'heure.",2,c'est,expected,c'est,être,present_indicative,copula_irregular,c',ce,demonstrative_pronoun,3,singular,True,c',demonstrative_pronoun,singular,False,False,,,,,,cleft_or_identificational_clause,0.0,0.97,Agreement is correct.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_005:v3,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_005,TS,TS,"Ah ouais, c'est # c- c'est ce qu'on a parlé tout à l'heure [rire]","Ah ouais, c'est ce dont on a parlé tout à l'heure.",3,a parlé,expected,a parlé,parler,passé_composé,regular_er,on,on,pronoun,3,singular,True,on,subject_pronoun,singular,False,False,,,,,,embedded_relative_like_clause,0.0,0.95,Agreement is correct. Target syntax would be 'ce dont on a parlé'.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
TS_FA_session01_page01:utt_008:v1,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,"Draft automatic annotation. Ambiguous repairs, false starts, and phonological/non-target forms should be checked by a human annotator.",line_break,utt_008,FA,FA,et toi tu vas faire quoi ?,"Et toi, tu vas faire quoi ?",1,vas,expected,vas,aller,present_indicative,irregular,tu,tu,pronoun,2,singular,True,tu,subject_pronoun,singular,False,False,,,,,,simple_subject_verb,0.0,0.99,Correct agreement with tu.,target,1.0,True,False,False,True,cue_present,pronoun,pronoun,False,False,no_attraction,0,finite
