utterance_uid,source_path,file_id,annotation_scope,utterance_id,learner_id,speaker,raw_utterance,normalized_utterance,verb_count,analyzable_verb_count,target_like_verb_count,non_target_verb_count,unexpected_form_count,cue_present_verb_count,attraction_configuration_count,attraction_error_count
TS_FA_session01_page01:utt_001,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_001,TS,TS,"Ouais [soupir], on va s'adresser à quel sujet ?","Ouais, on va s'adresser à quel sujet ?",2,1,1,0,0,1,0,0
TS_FA_session01_page01:utt_002,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_002,FA,FA,Mh [rire] #,Mh.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_003,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_003,TS,TS,Quo Xi le sujet qui t'intéresse le plus ? [rire],Quel est le sujet qui t'intéresse le plus ?,1,1,1,0,0,1,0,0
TS_FA_session01_page01:utt_004,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_004,FA,FA,Moi j’avais parlé avec les autres sur # ce qu’on va faire pendant les vacances d’été,"Moi, j’avais parlé avec les autres de ce qu’on va faire pendant les vacances d’été.",3,2,2,0,0,2,0,0
TS_FA_session01_page01:utt_005,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_005,TS,TS,"Ah ouais, c'est # c- c'est ce qu'on a parlé tout à l'heure [rire]","Ah ouais, c'est ce dont on a parlé tout à l'heure.",3,3,3,0,0,3,0,0
TS_FA_session01_page01:utt_006,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_006,FA,FA,<[rire]>,[rire],0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_007,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_007,TS,TS,un voyage # à Osaka et #,un voyage à Osaka et...,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_008,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_008,FA,FA,et toi tu vas faire quoi ?,"Et toi, tu vas faire quoi ?",2,1,1,0,0,1,0,0
TS_FA_session01_page01:utt_009,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_009,TS,TS,Ah moi ouais je suis déjà allée à Kobe Osaka pour aller mh à # une amie française,"Ah moi, je suis déjà allée à Kobe et Osaka pour aller voir une amie française.",2,1,1,0,0,1,0,0
TS_FA_session01_page01:utt_010,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_010,FA,FA,<Mh>,Mh.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_011,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_011,TS,TS,"qui s'appelle Zoe, on s'est rencontrés en France #","qui s'appelle Zoé, on s'est rencontrées en France.",2,1,1,0,0,2,0,0
TS_FA_session01_page01:utt_012,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_012,FA,FA,<Mh>,Mh.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_013,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_013,TS,TS,"Mais elle elle fait un stage à Osaka maintenant donc oui [rire] pour a-, al-, pour aller voir # ouais, c'était un grand gros travail et aussi faire un petit","Mais elle, elle fait un stage à Osaka maintenant, donc oui, pour aller la voir. C'était un grand travail, et aussi faire une petite visite.",5,2,2,0,0,2,0,0
TS_FA_session01_page01:utt_014,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_014,FA,FA,<rire>,[rire],0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_015,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_015,TS,TS,une visite touristique aussi # mais on-,"une visite touristique aussi, mais on...",0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_016,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_016,FA,FA,<Et tu es allée à l’expo aussi ?>,Et tu es allée à l’expo aussi ?,1,1,1,0,0,1,0,0
TS_FA_session01_page01:utt_017,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_017,TS,TS,"Non parce que euh # ouais # j- # ça me tente pas trop d'aller à, dans la foule de","Non, parce que ça ne me tente pas trop d'aller dans la foule.",2,1,1,0,0,1,0,0
TS_FA_session01_page01:utt_018,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_018,FA,FA,<rire>,[rire],0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_019,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_019,TS,TS,"d'expo [rire] il vaut mieux euh un peu tranquille donc oui, j'ai choisi de d'aller à [jp]_minpaku c'est un # ancien expo #","l'expo. Il vaut mieux quelque chose d'un peu tranquille, donc j'ai choisi d'aller à Minpaku, c'est une ancienne expo.",4,3,3,0,0,2,0,0
TS_FA_session01_page01:utt_020,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_020,FA,FA,<Mh>,Mh.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_021,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_021,TS,TS,"d’Osaka # Il y a un gr-, aussi il y a la tour de",d’Osaka. Il y a aussi la tour de...,2,2,2,0,0,0,0,0
TS_FA_session01_page01:utt_022,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_022,FA,FA,<Ouais>,Ouais.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_023,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_023,TS,TS,de soleil # Il y a un grand tour de soleil,du soleil. Il y a une grande tour du soleil.,1,1,1,0,0,0,0,0
TS_FA_session01_page01:utt_024,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_024,FA,FA,<Mh>,Mh.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_025,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_025,TS,TS,"aussi # il y a un gro- # et aussi un grand musée # de # ethn-, ethnologie qui s'appelle [jp]_minpaku",Il y a aussi un grand musée d’ethnologie qui s'appelle Minpaku.,2,2,2,0,0,1,0,0
TS_FA_session01_page01:utt_026,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_026,FA,FA,<Mh !>,Mh !,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_027,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_027,TS,TS,[jp]_minzoku-hatsubutsukan # mais c'est un musée grandiose # il y a # il y a plants de # chaque # mh # région il y a aussi plan- plants de collection de chaque région de de pays comme # l'Océanie et les pays d'Asie et d'Afrique,"Minzoku hakubutsukan. Mais c'est un musée grandiose. Il y a plein de collections de chaque région, de pays comme l'Océanie et les pays d'Asie et d'Afrique.",4,4,4,0,0,1,0,0
TS_FA_session01_page01:utt_028,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_028,FA,FA,Mh,Mh.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_029,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_029,TS,TS,et je euh on a passé trois heures mais aussi on a on n'arrive même pas à finir la la moitié,"Et on a passé trois heures, mais on n'arrive même pas à finir la moitié.",4,2,2,0,0,3,0,0
TS_FA_session01_page01:utt_030,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_030,FA,FA,[rire],[rire],0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_031,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_031,TS,TS,C'est grandiose [rire] # Il vaut mieux # donc oui si on va à à [jp]_minpaku que il vaut mieux,"C'est grandiose. Il vaut mieux, donc oui, si on va à Minpaku, il vaut mieux...",4,4,4,0,0,2,0,0
TS_FA_session01_page01:utt_032,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_032,FA,FA,<Mh>,Mh.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_033,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_033,TS,TS,compter six heures [rire] six heures ou sept heures,"compter six heures, six heures ou sept heures.",1,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_034,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_034,FA,FA,<[rire]>,[rire],0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_035,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_035,TS,TS,au maximum de plein de journées pour bien aller à aller profiter là-bas [rire],"au maximum, une journée entière pour bien aller profiter là-bas.",3,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_036,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_036,FA,FA,<Wow>,Wow.,0,0,0,0,0,0,0,0
TS_FA_session01_page01:utt_037,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_037,TS,TS,Mais c'était très très bien,Mais c'était très très bien.,1,1,1,0,0,1,0,0
TS_FA_session01_page01:utt_038,C:\Users\MANUE\Desktop\LLM analysis\Annotation.py,TS_FA_session01_page01,first_page_transcription,utt_038,FA,FA,Mais elle fait quoi # comme stage ?,Mais elle fait quoi comme stage ?,1,1,1,0,0,1,0,0
